ve,vf,vr,df,dr,d_safe_f,d_safe_r,delta_df,u_total
0.0,0.21707561143238857,0.2581290246199438,1.0043665505415622,1.1387798041605344,0.25,0.4306903172339607,0.7543665505415622,-0.20603408942382342
0.0,0.21707301452808953,0.25812918343428337,1.0260741116848011,1.11296690169854,0.25,0.43069042840399835,0.7760741116848011,-0.20449808657359037
0.0,0.21707054746900542,0.25812933430790597,1.04778141313761,1.0871539833551116,0.25,0.43069053401553414,0.79778141313761,-0.2029735347835047
0.0,0.21706820376287553,0.25812947763784744,1.0694884678845105,1.061341049924321,0.25,0.4306906343464932,0.8194884678845105,-0.2014603487623864
0.0,0.21706597724205212,0.25812961380129185,1.091195288260798,1.0355281021605363,0.25,0.43069072966090427,0.841195288260798,-0.1999584436663562
0.0,0.21706386204726988,0.258129743156564,1.1129018859850033,1.009715140780407,0.25,0.4306908202095948,0.8629018859850033,-0.1984677354816997
0.0,0.21706185261222677,0.25812986604407256,1.1346082721897304,0.9839021664647506,0.25,0.4306909062308508,0.8846082721897304,-0.1969881406661171
0.0,0.2170599436489358,0.25812998278720567,1.156314457450953,0.9580891798603434,0.25,0.430690987951044,0.906314457450953,-0.19551957640450018
0.0,0.21705813013380937,0.2581300936931821,1.1780204518158466,0.9322761815816228,0.25,0.4306910655852275,0.9280204518158466,-0.19406196047050406
0.0,0.21705640729443929,0.25813019905385975,1.1997262648292275,0.9064631722123047,0.25,0.4306911393377018,0.9497262648292275,-0.19261521124849107
0.0,0.2170547705970377,0.25813029914650354,1.2214319055586715,0.8806501523069187,0.25,0.43069120940255246,0.9714319055586715,-0.19117924767244598
0.0,0.2170532157345062,0.2581303942345151,1.2431373826183754,0.8548371223922683,0.25,0.43069127596416057,0.9931373826183754,-0.1897539893730106
0.0,0.21705173861510127,0.2581304845681261,1.264842704191826,0.8290240829688168,0.25,0.43069133919768826,1.014842704191826,-0.18833935652354444
0.0,0.21705033535166657,0.25813057038505655,1.2865478780533361,0.8032110345120042,0.25,0.4306913992695396,1.0365478780533361,-0.1869352699269481
0.0,0.2170490022514036,0.2581306519111405,1.3082529115885029,0.7773979774734985,0.25,0.4306914563377983,1.0582529115885029,-0.1855416509921755
0.0,0.2170477358061538,0.25813072936092024,1.3299578118136433,0.7515849122823844,0.25,0.43069151055264415,1.0799578118136433,-0.18415842167087715
0.0,0.21704653268316648,0.258130802938211,1.3516625853942585,0.7257718393462924,0.25,0.4306915620567477,1.1016625853942585,-0.1827855044469337
0.0,0.21704538971632853,0.2581308728366372,1.3733672386625753,0.6999587590524713,0.25,0.430691610985646,1.1233672386625753,-0.18142282247850905
0.0,0.21704430389783247,0.25813093924014213,1.395071777634208,0.6741456717688076,0.25,0.43069165746809945,1.145071777634208,-0.18007029946387837
0.0,0.21704327237026122,0.2581310023234718,1.4167762080239914,0.6483325778447934,0.25,0.4306917016264302,1.1667762080239914,-0.1787278596979656
0.0,0.21704229241906853,0.258131062252635,1.4384805352610175,0.6225194776124462,0.25,0.4306917435768445,1.1884805352610175,-0.17739542796068858
0.0,0.21704136146543548,0.25813111918534,1.4601847645029244,0.5967063713871827,0.25,0.430691783429738,1.2101847645029244,-0.17607292962963164
0.0,0.2170404770594841,0.2581311732714097,1.481888900649468,0.5708932594686488,0.25,0.4306918212899868,1.231888900649468,-0.17476029068463841
0.0,0.21703963687383027,0.258131224653176,1.5035929483554165,0.5450801421415078,0.25,0.4306918572572232,1.2535929483554165,-0.1734574376304743
0.0,0.21703883869745913,0.25813127346585396,1.5252969120427995,0.5192670196761902,0.25,0.43069189142609776,1.2752969120427995,-0.1721642975184414
0.0,0.21703808042990655,0.258131319837898,1.5470007959125454,0.49345389232960474,0.25,0.43069192388652855,1.2970007959125454,-0.170880797865419
0.0,0.2170373600757316,0.25813136389133984,1.5687046039555361,0.4676407603458149,0.25,0.43069195472393784,1.3187046039555361,-0.1696068668855909
0.0,0.21703667573926538,0.2581314057421096,1.5904083399631093,0.44182762395668096,0.25,0.4306919840194767,1.3404083399631093,-0.16834243320423947
0.0,0.21703602561962249,0.25813144550034084,1.6121120075370359,0.41601448338247,0.25,0.4306920118502386,1.3621120075370359,-0.167087425981296
0.0,0.21703540800596174,0.25813148327066054,1.6338156100989982,0.3902013388324359,0.25,0.43069203828946234,1.3838156100989982,-0.16584177501344605
0.0,0.21703482127298404,0.2581315191524643,1.6555191508995943,0.36438819050536986,0.25,0.430692063406725,1.4055191508995943,-0.16460541052443572
0.0,0.2170342638766552,0.25813155324017784,1.6772226330268927,0.33857503859012344,0.25,0.43069208726812447,1.4272226330268927,-0.16337826328348903
